strategy_name,timeframe,direction,max_holding_bars,total_signals,suggested_stop_loss_atr,suggested_take_profit_atr,trend_potential_score,p75_mae_atr,p90_mfe_atr,reached_5r_rate,reached_8r_rate,average_close_pnl_at_horizon_atr,median_bars_to_mfe,notes
donchian_40,H1,long,48,2859,5.0,9.5,7.455,5.523282457386445,9.327305320115483,0.36306400839454356,0.14865337530605108,0.6534587206168805,24.0,strong trend potential; wide stop needed
donchian_40,H1,long,72,2858,5.0,12.0,10.152,6.688633383086974,11.905886838568593,0.45906228131560534,0.23792862141357593,0.8354166594036403,38.0,strong trend potential; wide stop needed
donchian_40,H1,long,120,2855,5.0,16.0,14.26,8.554182939898904,15.922126119946139,0.5772329246935202,0.3751313485113835,1.1661163049139356,60.0,strong trend potential; wide stop needed
donchian_40,H1,long,240,2852,5.0,20.0,23.586,12.755749063450699,26.10422674258677,0.6984572230014026,0.5480364656381487,2.077625722171407,127.5,strong trend potential; wide stop needed
donchian_40,H1,long,480,2845,5.0,20.0,42.502,17.450893710498296,43.36584290918173,0.795079086115993,0.675219683655536,4.677775082703765,250.0,strong trend potential; wide stop needed
donchian_40,H1,short,24,1939,3.5,6.0,3.326,3.5599760690102267,5.976591808620554,0.1557503867973182,0.04847859721505931,-0.002395027105858623,9.0,wide stop needed
donchian_40,H1,short,48,1935,5.0,8.0,4.152,5.182832200947284,8.066541722913511,0.2614987080103359,0.10284237726098192,-0.19739757522618295,20.0,strong trend potential; wide stop needed
donchian_40,H1,short,72,1933,5.0,10.0,5.307,6.574343616617323,9.774183393693809,0.3610967408173823,0.16709777547853077,-0.1699954084357227,30.0,strong trend potential; wide stop needed
donchian_40,H1,short,120,1933,5.0,13.5,7.678,8.733496194228936,13.656228079784446,0.4650801862390067,0.28246249353336783,-0.3997774737010535,52.0,strong trend potential; wide stop needed
donchian_40,H1,short,240,1921,5.0,17.5,5.629,13.174929555828761,17.548634886831362,0.5965642894325872,0.415929203539823,-1.813041560212682,93.0,strong trend potential; wide stop needed
donchian_40,H1,short,480,1911,5.0,20.0,4.243,19.54061023101476,25.702177464914662,0.6813186813186813,0.5264259549973835,-3.901103713334221,156.0,strong trend potential; wide stop needed; short holding preferred
donchian_40,H4,long,12,916,2.5,4.5,3.027,2.712019687419639,4.625499669220751,0.08296943231441048,0.02292576419213974,0.32205388521064626,6.0,wide stop needed
donchian_40,H4,long,24,916,4.0,7.5,6.36,3.7729636936565094,7.602351611439451,0.22161572052401746,0.09388646288209607,0.5405724052340458,12.0,strong trend potential; wide stop needed
donchian_40,H4,long,48,916,5.0,12.0,11.163,5.635753075260368,11.967254034936294,0.4126637554585153,0.2096069868995633,0.9614994226090287,25.0,strong trend potential; wide stop needed
donchian_40,H4,long,72,916,5.0,16.5,16.484,6.937335032540723,16.312154426665664,0.4912663755458515,0.31004366812227074,1.6417384671111366,38.0,strong trend potential; wide stop needed
donchian_40,H4,long,120,916,5.0,20.0,23.79,9.121567828966903,22.752863577808853,0.5982532751091703,0.4268558951965066,2.60241322619754,64.0,strong trend potential; wide stop needed
donchian_40,H4,long,240,915,5.0,20.0,39.107,11.365935307938386,33.450133944749346,0.7234972677595628,0.5693989071038251,5.356327410221487,130.0,strong trend potential; wide stop needed
donchian_40,H4,short,12,517,2.5,4.0,1.027,2.6708986520319784,3.769525794805069,0.058027079303675046,0.015473887814313346,-0.1981749731155287,5.0,wide stop needed
donchian_40,H4,short,24,517,4.0,6.0,2.93,3.907615780165626,6.224352467626343,0.12379110251450677,0.058027079303675046,-0.11514884486771619,10.0,wide stop needed
donchian_40,H4,short,48,515,5.0,7.0,1.145,5.495302261924235,7.16921027881498,0.2,0.0854368932038835,-0.9205484082480669,19.0,strong trend potential; wide stop needed
donchian_40,H4,short,72,508,5.0,9.0,0.407,7.301942099250476,8.898235742445419,0.3051181102362205,0.12992125984251968,-1.5945555738159798,24.0,strong trend potential; wide stop needed
donchian_40,H4,short,120,506,5.0,11.5,-1.217,10.180690919525336,11.427958140034505,0.37549407114624506,0.2509881422924901,-2.735937345380594,29.0,strong trend potential; wide stop needed; short holding preferred
donchian_40,H4,short,240,498,5.0,15.5,-3.057,16.16565070826345,15.565376538100175,0.4939759036144578,0.3674698795180723,-3.318482234133401,60.0,strong trend potential; wide stop needed; short holding preferred
donchian_55,H1,long,24,2460,4.0,6.5,4.441,3.8782399183163596,6.526742316372978,0.1943089430894309,0.05894308943089431,0.33100706675512304,12.0,wide stop needed
donchian_55,H1,long,48,2460,5.0,9.5,7.087,5.594308693815934,9.261281541605904,0.3548780487804878,0.1467479674796748,0.5600236201716841,24.0,strong trend potential; wide stop needed
